sample_index,GHSOM_cluster,metadata_index
1547,7,1547
1548,27,1548
1549,25,1549
1550,21,1550
1551,19,1551
1552,19,1552
1553,13,1553
1554,5,1554
1555,13,1555
1556,13,1556
1557,5,1557
1558,26,1558
1559,5,1559
1560,27,1560
1561,23,1561
1562,2,1562
1563,4,1563
1564,12,1564
1565,27,1565
1566,5,1566
1567,4,1567
1568,9,1568
1569,26,1569
1570,7,1570
1571,21,1571
1572,8,1572
1573,8,1573
1574,5,1574
1575,26,1575
1576,22,1576
1577,13,1577
1578,27,1578
1579,19,1579
1580,26,1580
1581,2,1581
1582,9,1582
1583,15,1583
1584,5,1584
1585,19,1585
1586,12,1586
1587,5,1587
1588,13,1588
1589,9,1589
1590,8,1590
1591,7,1591
1592,26,1592
1593,26,1593
1594,14,1594
1595,22,1595
1596,23,1596
1597,23,1597
1598,26,1598
1599,12,1599
1600,22,1600
1601,19,1601
1602,22,1602
1603,27,1603
1604,25,1604
1605,10,1605
1606,15,1606
1607,27,1607
1608,19,1608
1609,27,1609
1610,13,1610
1611,22,1611
1612,23,1612
1613,21,1613
1614,26,1614
1615,25,1615
1616,9,1616
1617,2,1617
1618,5,1618
1619,19,1619
1620,7,1620
1621,14,1621
1622,22,1622
1623,15,1623
1624,23,1624
1625,23,1625
1626,12,1626
1627,8,1627
1628,27,1628
1629,8,1629
1630,7,1630
1631,2,1631
1632,27,1632
1633,18,1633
1634,26,1634
1635,15,1635
1636,7,1636
1637,22,1637
1638,7,1638
1639,22,1639
1640,21,1640
1641,8,1641
1642,21,1642
1643,26,1643
1644,18,1644
1645,5,1645
1646,26,1646
1647,15,1647
1648,26,1648
1649,13,1649
1650,26,1650
1651,14,1651
1652,5,1652
1653,7,1653
1654,8,1654
1655,5,1655
1656,13,1656
1657,8,1657
1658,8,1658
1659,21,1659
1660,3,1660
1661,9,1661
1662,13,1662
1663,13,1663
1664,15,1664
1665,21,1665
1666,22,1666
1667,5,1667
1668,7,1668
1669,3,1669
1670,21,1670
1671,23,1671
1672,9,1672
1673,14,1673
1674,14,1674
1675,23,1675
1676,22,1676
1677,13,1677
1678,8,1678
1679,23,1679
1680,26,1680
1681,23,1681
1682,26,1682
1683,8,1683
1684,15,1684
1685,25,1685
1686,13,1686
1687,15,1687
1688,9,1688
1689,14,1689
1690,27,1690
1691,5,1691
1692,5,1692
1693,27,1693
1694,8,1694
1695,2,1695
1696,26,1696
1697,5,1697
1698,26,1698
1699,20,1699
1700,22,1700
1701,5,1701
1702,21,1702
1703,15,1703
1704,15,1704
1705,26,1705
1706,21,1706
1707,20,1707
1708,25,1708
1709,5,1709
1710,18,1710
1711,25,1711
1712,22,1712
1713,21,1713
1714,26,1714
1715,13,1715
1716,14,1716
1717,26,1717
1718,15,1718
1719,13,1719
1720,7,1720
1721,18,1721
1722,27,1722
1723,13,1723
1724,25,1724
1725,3,1725
1726,15,1726
1727,9,1727
1728,2,1728
1729,5,1729
1730,26,1730
1731,25,1731
1732,7,1732
1733,9,1733
1734,23,1734
1735,27,1735
1736,19,1736
1737,4,1737
1738,4,1738
1739,7,1739
1740,4,1740
1741,19,1741
1742,26,1742
1743,5,1743
1744,27,1744
1745,26,1745
1746,21,1746
1747,2,1747
1748,2,1748
1749,20,1749
1750,15,1750
1751,2,1751
1752,19,1752
1753,25,1753
1754,26,1754
1755,27,1755
1756,14,1756
1757,18,1757
1758,10,1758
1759,14,1759
1760,2,1760
1761,27,1761
1762,27,1762
1763,23,1763
1764,8,1764
1765,15,1765
1766,27,1766
1767,4,1767
1768,5,1768
1769,27,1769
1770,19,1770
1771,4,1771
1772,5,1772
1773,23,1773
1774,19,1774
1775,5,1775
1776,23,1776
1777,9,1777
1778,26,1778
1779,7,1779
1780,5,1780
1781,3,1781
1782,15,1782
1783,15,1783
1784,27,1784
1785,18,1785
1786,25,1786
1787,8,1787
1788,25,1788
1789,21,1789
1790,5,1790
1791,27,1791
1792,26,1792
1793,22,1793
1794,13,1794
1795,15,1795
1796,8,1796
1797,5,1797
1798,25,1798
1799,20,1799
1800,13,1800
1801,14,1801
1802,4,1802
1803,26,1803
1804,21,1804
1805,15,1805
1806,18,1806
1807,25,1807
1808,4,1808
1809,4,1809
1810,15,1810
1811,21,1811
1812,25,1812
1813,7,1813
1814,25,1814
1815,26,1815
1816,21,1816
1817,14,1817
1818,23,1818
1819,18,1819
1820,18,1820
1821,21,1821
1822,22,1822
1823,27,1823
1824,15,1824
1825,27,1825
1826,9,1826
1827,15,1827
1828,2,1828
1829,4,1829
1830,26,1830
1831,13,1831
1832,2,1832
1833,15,1833
1834,23,1834
1835,14,1835
1836,14,1836
1837,27,1837
1838,14,1838
1839,27,1839
1840,27,1840
1841,23,1841
1842,26,1842
1843,15,1843
1844,18,1844
1845,10,1845
1846,5,1846
1847,22,1847
1848,14,1848
1849,14,1849
1850,23,1850
1851,5,1851
1852,13,1852
1853,21,1853
1854,21,1854
1855,5,1855
1856,2,1856
1857,15,1857
1858,26,1858
1859,18,1859
1860,27,1860
1861,9,1861
1862,27,1862
1863,23,1863
1864,5,1864
1865,9,1865
1866,27,1866
1867,25,1867
1868,14,1868
1869,4,1869
1870,22,1870
1871,13,1871
1872,15,1872
1873,26,1873
1874,18,1874
1875,19,1875
1876,23,1876
1877,7,1877
1878,27,1878
1879,5,1879
1880,14,1880
1881,2,1881
1882,2,1882
1883,5,1883
1884,21,1884
1885,26,1885
1886,2,1886
1887,15,1887
1888,5,1888
1889,21,1889
1890,21,1890
1891,23,1891
1892,26,1892
1893,15,1893
1894,15,1894
1895,26,1895
1896,27,1896
1897,13,1897
1898,18,1898
1899,26,1899
1900,8,1900
1901,26,1901
1902,25,1902
1903,26,1903
1904,15,1904
1905,22,1905
1906,27,1906
1907,27,1907
1908,8,1908
1909,21,1909
1910,4,1910
1911,15,1911
1912,26,1912
1913,13,1913
1914,26,1914
1915,27,1915
1916,5,1916
1917,5,1917
1918,13,1918
1919,27,1919
1920,21,1920
1921,19,1921
1922,27,1922
1923,23,1923
1924,23,1924
1925,7,1925
1926,18,1926
1927,4,1927
1928,15,1928
1929,26,1929
1930,25,1930
1931,5,1931
1932,27,1932
1933,23,1933
1934,7,1934
1935,5,1935
1936,7,1936
1937,13,1937
1938,5,1938
1939,5,1939
1940,5,1940
1941,4,1941
1942,15,1942
1943,21,1943
1944,5,1944
1945,15,1945
1946,5,1946
1947,5,1947
1948,14,1948
1949,9,1949
1950,13,1950
1951,23,1951
1952,26,1952
1953,25,1953
1954,23,1954
1955,5,1955
1956,15,1956
1957,13,1957
1958,5,1958
1959,7,1959
1960,5,1960
1961,15,1961
1962,23,1962
1963,14,1963
1964,5,1964
1965,22,1965
1966,23,1966
1967,5,1967
1968,21,1968
1969,25,1969
1970,5,1970
1971,23,1971
1972,5,1972
1973,13,1973
1974,26,1974
1975,19,1975
1976,28,1976
1977,23,1977
1978,26,1978
1979,26,1979
1980,23,1980
1981,13,1981
1982,22,1982
1983,10,1983
1984,7,1984
1985,22,1985
