metadata_index,dim1,dim2
904,10.838776,5.5913253
905,10.184786,3.4696355
906,7.163391,13.365442
907,10.239796,3.3183074
908,9.459284,3.1377258
909,4.2856197,8.31803
910,10.795521,10.408741
911,8.305414,13.1195
912,-0.6570812,10.800878
913,11.367043,10.116113
914,11.331518,10.024252
915,1.9001008,5.760569
916,2.7808805,3.3919425
917,2.3471923,9.314606
918,-0.11418908,4.266657
919,10.370018,11.021761
920,9.398776,2.5491698
921,-0.16447672,10.761102
922,11.045985,10.21482
923,11.258506,9.992975
924,8.386791,3.0537724
925,9.406493,2.5938902
926,0.0950803,4.475142
927,-0.05286212,10.708882
928,10.717624,10.3726
929,-0.3124152,5.5970025
930,-2.3085158,13.162873
931,-0.26707676,4.1949377
932,10.643571,10.272578
933,9.855651,9.998715
934,0.07570009,4.5945473
935,8.707961,14.418734
936,11.209113,10.124573
937,4.2414813,8.426608
938,1.7330848,6.9679937
939,1.9927216,5.3086214
940,9.811616,3.5305095
941,0.059122346,4.5519633
942,8.689537,14.421147
943,11.065516,6.448474
944,10.544509,13.565446
945,9.814406,10.058464
946,2.3460634,9.447587
947,2.4823523,14.487865
948,10.771336,10.3064995
949,10.214023,3.0404806
950,9.897087,12.914688
951,9.637768,12.077195
952,9.557224,2.5963075
953,2.274143,9.642349
954,9.610733,3.2859926
955,2.6532214,3.6488683
956,10.242075,7.6267037
957,10.792912,9.8889065
958,-0.21779898,10.681216
959,8.472755,14.555765
960,2.311554,9.3686
961,-3.1402016,11.275651
962,9.655112,13.216723
963,2.028143,4.313927
964,11.436898,6.270879
965,0.047570705,4.3459015
966,10.262115,9.567585
967,1.3989536,4.6071057
968,8.509038,14.54483
969,2.3777876,9.289
970,1.4452125,4.4808817
971,8.979929,3.9698317
972,7.1990466,13.315213
973,9.699994,9.684213
974,4.5997963,13.721075
975,7.646396,13.902123
976,8.3680935,3.1719391
977,11.001751,5.520712
978,11.156762,9.953664
979,9.988899,11.245931
980,1.3687602,4.5793185
981,9.000059,13.723365
982,0.008211243,4.4737716
983,9.50527,2.7073464
984,9.603995,2.6508858
985,11.356529,10.0174
986,-0.9513602,10.648624
987,10.82467,5.9401135
988,8.864255,13.635988
989,11.324405,9.989499
990,-1.155828,10.522874
991,11.40313,10.124605
992,2.2671676,9.168182
993,9.306039,13.2961445
994,1.8296033,6.2292027
995,9.279407,13.330934
996,7.363024,13.651929
997,11.038632,6.5024047
998,10.235777,7.59009
999,2.0275717,5.4463897
1000,11.38446,10.074598
1001,9.413978,9.599664
1002,6.65443,13.6221285
1003,2.0284789,5.5289607
1004,-0.21530856,4.2310133
1005,10.787299,5.5674014
1006,10.520342,5.708588
1007,10.388426,9.868071
1008,7.2724676,13.313545
1009,9.625142,10.214945
1010,0.11574891,4.7101393
1011,7.955559,14.808724
1012,9.604566,3.1775856
1013,10.202153,7.29382
1014,8.743686,14.377117
1015,4.1983857,8.46593
1016,4.307105,8.35642
1017,-0.2606777,10.777941
1018,9.955216,9.927824
1019,10.613926,9.8818445
1020,8.443395,2.8897889
1021,9.76472,11.68659
1022,9.512827,2.65147
1023,0.059144944,4.498009
1024,1.5639496,6.535647
1025,1.671359,5.949892
1026,10.2357645,3.2692862
1027,10.004594,11.548489
1028,8.000766,14.678527
1029,0.17328505,4.6700935
1030,9.40264,2.4926531
1031,11.029083,10.010802
1032,10.843565,5.5938067
1033,9.634478,10.049314
1034,8.533159,14.556131
1035,1.3831539,4.5389175
1036,1.5684378,4.3773365
1037,0.19380246,4.529757
1038,-2.3034408,13.1655
1039,8.244173,13.243504
1040,10.220421,3.3004296
1041,2.3414145,9.459161
1042,10.820684,10.391122
1043,10.394248,3.1344018
1044,9.167255,2.487677
1045,9.961682,3.1301942
1046,-0.21226175,10.5008335
1047,-0.19293411,4.2351007
1048,9.8796215,12.98932
1049,4.0463676,13.480225
1050,11.420899,10.2499485
1051,9.823493,12.860822
1052,1.6306968,6.4716473
1053,10.781145,10.489633
1054,10.981444,10.628799
1055,-0.123408966,10.950514
1056,1.3607357,4.557811
1057,6.863406,13.641491
1058,-0.13869844,10.883564
1059,8.418231,3.13928
1060,1.5403769,6.445008
1061,-0.0026429622,4.353643
1062,11.395906,6.342092
1063,8.276083,14.72981
1064,2.085889,9.041531
1065,9.907662,11.544818
1066,8.709059,14.4305525
1067,10.612279,9.824874
1068,-0.23630007,4.2121162
1069,11.500086,10.29496
1070,11.346666,10.030103
1071,8.415023,2.995827
1072,4.187312,13.594307
1073,4.5557723,13.764637
1074,11.041137,5.5659947
1075,10.004914,9.837693
1076,0.0648702,4.6537848
1077,10.998426,5.51384
